Date,Andhra Pradesh,Bihar,Chandigarh,Chhattisgarh,Delhi,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Odisha,Puducherry,Punjab,Rajasthan,Tamil Nadu,Telangana,Uttarakhand,Uttar Pradesh,West Bengal
Jan-30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Feb-02,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Feb-03,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mar-02,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Mar-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Mar-04,0,0,0,0,1,0,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0
Mar-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Mar-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar-07,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0
Mar-08,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Mar-09,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
Mar-10,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0
Mar-11,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0
Mar-12,1,0,0,0,2,0,0,0,0,0,0,1,0,6,0,0,0,1,0,0,0,2,0
Mar-13,0,0,0,0,0,0,0,0,0,2,2,0,0,3,0,0,0,0,0,0,0,0,0
Mar-14,0,0,0,0,1,0,0,0,1,0,0,0,0,12,0,0,0,1,0,0,0,1,0
Mar-15,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,2,0,0,0
Mar-16,0,0,0,0,0,0,0,0,1,1,1,1,0,4,1,0,0,0,0,0,0,0,0
Mar-17,0,0,0,0,1,0,1,0,0,3,3,2,0,7,0,0,0,0,0,2,0,2,0
Mar-18,0,0,0,0,2,0,2,0,0,1,1,0,0,3,0,1,0,1,0,0,0,1,1
Mar-19,0,0,1,1,2,0,0,0,1,3,0,0,0,3,0,0,1,3,1,1,1,3,0
Mar-20,2,0,0,0,5,5,0,0,0,1,1,2,0,5,1,0,1,10,1,11,0,4,1
Mar-21,0,0,0,0,8,2,0,2,0,0,12,3,4,11,0,0,11,0,0,4,2,1,1
Mar-22,2,2,4,0,3,11,4,0,0,11,12,0,0,4,0,0,7,7,3,1,0,3,1
Mar-23,2,0,1,0,0,11,5,1,0,7,15,0,2,7,0,0,0,4,3,10,0,4,3
